id	region	municipality	settlement	type	latitude_dd	longitude_dd
45308	Ростовская область	Город Шахты	Шахты	г	47.70861111	40.21583333
108591	Краснодарский край	Город-герой Новороссийск	Новороссийск	г	44.72361111	37.76861111
123363	Кабардино-Балкарская республика	Нальчик	Нальчик	г	43.48527778	43.60694444
81810	Москва	Зеленоградский	Москва	г	55.75388889	37.62027778
153349	Хабаровский край	город Комсомольск-на-Амуре	Комсомольск-на-Амуре	г	50.55	137.0080556
106720	Республика Коми	ГО Сыктывкар	Сыктывкар	г	61.66861111	50.83444444
73868	Ростовская область	Город Таганрог	Таганрог	г	47.20944444	38.93527778
19440	Республика Марий Эл	Йошкар-Ола	Йошкар-Ола	г	56.63444444	47.9
46569	Ханты-Мансийский автономный округ - Югра	Нижневартовск	Нижневартовск	г	60.93972222	76.56972222
36371	Республика Карелия	Петрозаводский	Петрозаводск	г	61.78916667	34.35972222
140525	Республика Башкортостан	Стерлитамак	Стерлитамак	г	53.63027778	55.93166667
22756	Костромская область	Костромской район	Кострома	г	57.76777778	40.92638889
7751	Тамбовская область	Город Тамбов	Тамбов	г	52.72972222	41.44861111
27232	Мурманская область	Городской округ город Мурманск	Мурманск	г	68.96944444	33.07444444
106189	Чеченская республика	Городской округ Город Грозный	Грозный	г	43.31777778	45.695
146950	Вологодская область	Город Вологда	Вологда	г	59.21888889	39.89333333
108569	Орловская область	Город Орёл	Орёл	г	52.96722222	36.06972222
109999	Вологодская область	Город Череповец	Череповец	г	59.1275	37.90694444
